"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2398513",1,"1","Y","M",30,"B","-","N","P","G","N","-","3","-",,"27",21650,,"A","-",0,1,"C",1995,"FORD","A","7","0","W",,"-","-",2006
"2414723",1,"1","Y","F",54,"A","-","W","P","G","Y","-","3","-","-","-",,,"N","-",0,1,"C",1986,"TOYOTA","A","7","0","W",,"-","-",2006
"2415942",1,"1","Y","M",18,"A","-","W","M","G","Y","-","3","-","-","-",,,"F","-",0,0,"B",2004,"FORD","D","22","0","H","-","-","-",2006
"2415942",2,"1","N","F",45,"A","-","W","M","G",,"-","3","-","-","-",,,"N","-",0,1,"B",2005,"FORD","A","7","0","W",,"-","-",2006
"2415981",1,"1","Y","M",24,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,2,"C",2005,"MAZDA","A","1","0","W",,"-","-",2006
"2418734",1,"1","N","M",31,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"E",2001,"BMW","A","1","0","B",,"-","-",2006
"2418734",2,"1","Y","M",18,"A","-","E","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"I",1998,"ACURA","A","1","0","W",,"-","-",2006
"2418742",1,"1","Y","F",18,"A","-","N","L","G","Y","-","3","-",,"25",22350,,"A","-",0,3,"C",2005,"CHEVROLET","A","1","0","W",,"-","-",2006
"2422886",1,"1","Y","M",20,"A","-","E","M","G","N","-","3","-","-","-",,,"N","-",0,1,"R",2003,"SUBARU","A","1","0","W",,"-","-",2006
"2422901",1,"1","N","M",49,"A","-","W","P","W","Y","-","3","-","-","-",,,"N","-",0,1,"B",2002,"HARLEY-DAVIDSON","C","2","0","W",,"-","-",2006
"2422925",1,"2","Y","M",15,"-","E","W","-","-","O","-","3","-","-","-",,,"F","-",1,0,"B",,"-","N","60","0","W","C","-","-",2006
"2422925",2,"1","N","F",39,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1998,"JEEP","A","1","0","W",,"-","-",2006
"2422930",1,"5","N","-",998,"H","H","S","-","-","O","-","3","-","-","-",,,"I","-",0,1,"R",1990,"CHEVROLET","A","1","0",,,"-","-",2006
"2422930",2,"1","Y","M",57,"A","-","S","M","H","Y","-","3","-","-","-",,,"N","-",0,1,"B",1995,"FORD","D","22","0","W",,"-","-",2006
"2422941",1,"1","Y","M",17,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,2,"C",1990,"CHEVROLET","A","1","0","W",,"-","-",2006
"2422949",1,"1","Y","M",24,"A","-","E","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"C",2004,"MAZDA","D","22","0","W",,"-","-",2006
"2422953",1,"1","Y","M",24,"A","-","W","L","G","Y","-","3","-",,"27",21651,"A","A","K",0,1,"B",2001,"HONDA","A","1","0","W",,"-","-",2006
"2422953",2,"1","N","F",32,"A","-","E","L","G","Y","-","3","-","-","-",,,"N","-",0,2,"B",1998,"SATURN","A","1","0","W",,"-","-",2006
"2425583",1,"1","Y","F",53,"B","-","S","M","G","Y","-","3","-",,"33",21802,"A","A","-",0,0,"F",2004,"CHEVROLET","A","7","0","W",,"-","-",2006
