"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2399845",1,"1","Y","M",27,"B","-","S","L","G","N","-","-","-",,"31",22107,,"A","-",0,1,"B",2001,"CHRYSLER","-","-","-","W",,"-","-",2006
"2399853",1,"1","Y","M",58,"A","-","S","G","-","Y","-","3","-","-","-",,,"M","-",0,0,"G",2001,"TOYOTA","-","-","-","W",,"-","-",2006
"2399853",2,"2","N","M",29,"A","-","-","-","-","O","-","3","-","-","-",,,"N","-",0,1,"A",,"-","N","60","0","W",,"-","-",2006
"2399857",1,"1","Y","F",16,"A","-","N","M","G","Y","-","-","-","-","-",,,"A","G",0,1,"B",1992,"TOYOTA","-","-","-","W",,"-","-",2006
"2399857",2,"1","N","M",60,"A","-","W","P","G","Y","-","-","-","-","-",,,"N","-",0,1,"E",1992,"LINCOLN","-","-","-","W",,"-","-",2006
"2411125",1,"1","Y","M",49,"A","-","W","L","G","Y","-","-","-","-","-",,,"J","-",0,1,"B",2002,"TOYOTA","-","-","0","W",,"-","-",2006
"2411129",1,"1","Y","M",43,"-","E","N","L","G",,"-","3","-",,"31",22107,,"A","-",0,0,"B",2004,"HYUNDAI","-","-","0","W",,"-","-",2006
"2411129",2,"3","N","-",998,"H","H","N","-","-","O","-","3","-","-","-",,,"N","-",0,2,"O",1996,"TOYOTA","-","-","0",,,"-","-",2006
"2411924",1,"1","N","M",78,"A","-","S","L","G","Y","-","-","-","-","-",,,"N","-",0,1,"B",1999,"FORD","-","-","0",,,"-","-",2006
"2411924",2,"1","Y","M",20,"A","-","N","L","G","Y","-","-","-","-","-",,,"F","-",0,1,"N",1989,"ACURA","-","-","0",,"-","-","-",2006
"2413411",1,"1","Y","F",30,"A","-","N","M","L","Y","-","3","-","-","-",,,"N","-",0,1,"E",1998,"BMW","-","-","0","W",,"-","-",2006
"2413411",2,"1","N","M",53,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2004,"SATURN","-","-","0","W",,"-","-",2006
"2413431",1,"1","N","M",57,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1994,"MAZDA","-","-","0","W",,"-","-",2006
"2413431",2,"1","Y","F",40,"A","-","N","M","G","Y","-","1","-","-","-",,,"N","-",0,0,"B",2000,"KIA","-","-","0","W",,"-","-",2006
"2413439",1,"1","Y","M",24,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1997,"TOYOTA","-","-","0","W",,"-","-",2006
"2413439",2,"1","N","F",41,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1999,"DODGE","-","-","0","W",,"-","-",2006
"2413451",1,"1","Y","M",43,"-","E","W","H","-",,"-","-","-","-","-",,,"-","-",0,1,"B",1991,"CHEVROLET","D",,,"W",,"-","-",2006
"2414208",1,"1","N","F",46,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1999,"PONTIAC","-","-","0","B",,"-","-",2006
"2414208",2,"1","Y","F",35,"A","-","S","M","G",,"-","3","-","-","-",,,"N","-",0,2,"H",2002,"HYUNDAI","-","-","0","W",,"-","-",2006
"2422365",1,"1","Y","M",57,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"D",1995,"NISSAN","-","-","0",,,"-","-",2006
"2422365",2,"1","N","F",24,"A","-","W","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1998,"HONDA","-","-","0","W",,"-","-",2006
"2422369",1,"1","Y","M",20,"G","G","W","M","G","Y","-","-","-","-","-",,,"N","-",0,0,"B",1994,"DODGE","-","-","0","W",,"-","-",2006
"2422369",2,"1","N","F",20,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",2003,"NISSAN","-","-","0","W",,"-","-",2006
"2425620",1,"1","Y","F",52,"A","-","S","L","G","Y","-","3","-","-","-",,,"-","-",0,1,"B",1996,"TOYOTA","-","-","0","W",,"-","-",2006
"2425620",2,"1","N","M",38,"A","-","N","L","G","Y","-","3","-","-","-",,,"-","-",0,2,"A",1995,"NISSAN","-","-","0","H",,"-","-",2006
"2425632",1,"1","N","M",50,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1999,"MERCEDES-BENZ","-","-","0","H",,"-","-",2006
"2425632",2,"1","Y","F",18,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1995,"FORD","-","-","0","W",,"-","-",2006
"2425644",1,"1","Y","M",23,"A","-","N","L","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1999,"VOLKSWAGEN","-","-","0","W",,"-","-",2006
"2425644",2,"1","N","F",41,"A","-","W","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"E",2003,"TOYOTA","-","-","0","W",,"-","-",2006
"2425644",3,"1","N","F",41,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"E",2000,"NISSAN","-","-","0","W",,"-","-",2006
"2425652",1,"1","Y","M",49,"B","-","E","L","G","Y","-","3","-",,"31",22107,,"A","-",0,0,"J",1995,"DODGE","-","-","0","B",,"-","-",2006
"2425652",2,"1","N","M",42,"A","-","E","M","G","Y","-","3","-","-","-",,,"-","-",0,0,"A",1999,"FORD","-","-","0","W",,"-","-",2006
"2425652",3,"1","N","M",57,"A","-","E","M","G","Y","-","3","-","-","-",,,"-","-",0,1,"A",1996,"CHRYSLER","-","-","0","W",,"-","-",2006
"2425656",1,"1","Y","F",18,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,3,"F",2001,"MITSUBISHI","-","-","0","W",,"-","-",2006
"2425656",2,"1","N","M",45,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2003,"FORD","-","-","0","W",,"-","-",2006
"2425672",1,"1","Y","F",59,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"E",2002,"PONTIAC","-","-","0","W",,"-","-",2006
"2425672",2,"2","N","M",998,"A","-","N","-","-","O","-","3","-","-","-",,,"N","-",0,1,"R",,"-","N","60","0","H",,"-","-",2006
"2425676",1,"1","Y","F",49,"A","-","W","L","H","Y","-","-","-","-","-",,,"N","-",0,1,"E",1998,"OLDSMOBILE","A","1","0","W",,"-","-",2006
"2425676",2,"1","N","M",41,"A","-","N","L","H","Y","-","-","-","-","-",,,"N","-",0,0,"B",2003,"ACURA","A","1","0","A",,"-","-",2006
"2425676",3,"1","N","F",27,"A","-","W","M","H","Y","-","-","-","-","-",,,"N","-",0,0,"A",2004,"HONDA","A","1","0","W",,"-","-",2006
"2425693",1,"1","Y","M",51,"A","-","N","M","E","Y","-","3","-","-","-",,,"N","-",0,0,"L",1991,"TOYOTA","A","1","0","O",,"-","-",2006
"2425693",2,"1","N","M",41,"A","-","E","P","W","Y","-","3","-","-","-",,,"N","-",0,1,"B",2002,"HONDA","A","1","0","H",,"-","-",2006
"2425709",1,"1","Y","M",19,"G","G","W","-","-",,"-","-","-","-","-",,,"N","-",0,0,"B",1994,"NISSAN","-","99","0",,,"-","-",2006
"2425709",2,"1","N","M",77,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2004,"SATURN","A","1","0","W",,"-","-",2006
"2425725",1,"1","Y","M",35,"A","-","N","M","G","N","-","3","-","-","-",,,"N","-",0,1,"B",1991,"CHRYSLER","A","7","0","W",,"-","-",2006
"2425729",1,"1","Y","F",79,"A","-","N","L","G","Y","-","-","-","-","-",,,"N","-",0,1,"E",2002,"TOYOTA","A","1","0","W",,"-","-",2006
"2425729",2,"1","N","F",67,"A","-","S","L","G","Y","-","-","-","-","-",,,"N","-",0,1,"B",1999,"FORD","A","1","0","W",,"-","-",2006
"2425729",3,"1","N","F",37,"A","-","E","M","G","Y","-","-","-","-","-",,,"N","-",0,0,"A",1990,"BUICK","A","1","0","W",,"-","-",2006
"2425745",1,"1","Y","M",32,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2000,"CHEVROLET","A","7","0","W",,"-","-",2006
"2425745",2,"1","N","M",17,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",2000,"DODGE","A","7","0","W",,"-","-",2006
