"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2415380",1,"1","Y","F",20,"A","-","S","G","-","Y","-","C","-","-","-",,,"F","-",0,0,"P",1996,"OTHER - BUS","-",,,"W","-","-","-",2006
"2415380",2,"2","N","M",56,"A","-","E","-","-","O","-","C","-","-","-",,,"-","-",0,1,"-",,"-","-",,,"W",,"-","-",2006
"2421764",1,"1","Y","M",26,"A","-","W","M","G","Y","-","3","-","-","-",,,"L","-",0,0,"H",1999,"GMC","A","7","0","W",,"-","-",2006
"2421764",2,"1","N","F",59,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1997,"DODGE","D","22","0","A",,"-","-",2006
"2421772",1,"1","Y","M",50,"A","-","S","P","G","Y","-","3","-","-","-",,,"F","-",0,1,"M",1996,"FORD","A","1","0","W","-","-","-",2006
"2421780",1,"1","Y","M",62,"A","-","E","M","G","Y","-","3","-","-","-",,,"I","-",0,0,"B",2003,"TOYOTA","A","8","0","A",,"-","-",2006
"2421780",2,"1","N","M",39,"A","-","E","M","G","Y","-","3","-","-","-",,,"I","-",0,1,"H",1991,"NISSAN","D","23","0","A",,"-","-",2006
"2422633",1,"1","Y","F",39,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"G",2002,"TOYOTA","A","1","0","B",,"-","-",2006
"2422633",2,"1","N","F",27,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1992,"TOYOTA","A","1","0",,,"-","-",2006
"2425445",1,"5","N","-",998,"H","H","E","-","-","O","-","-","-","-","-",,,"N","-",0,0,"B",1991,"TOYOTA","A","1","0",,,"-","-",2006
"2425445",2,"1","Y","F",18,"A","-","E","P","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1993,"PLYMOUTH","A","1","0","W",,"-","-",2006
"2428480",1,"1","Y","M",24,"G","G","N","L","G","N","-","3","-","-","-",,,"M","-",0,1,"C",1996,"PONTIAC","A","1","0","H",,"-","-",2006
"2433448",1,"2","Y","M",50,"B","-","S","-","-","O","-","-","-","-","-",,,"M","-",0,1,"-",,"-","N",,,"W",,"-","-",2006
"2433448",2,"1","N","F",40,"A","-","E","G","-","Y","-","-","-","-","-",,,"N","-",0,0,"B",2002,"SATURN","A",,,"W",,"-","-",2006
"2433456",1,"1","Y","F",53,"A","-","E","G","-","Y","-","-","-","-","-",,,"J","-",0,0,"B",2003,"MERCEDES-BENZ","A",,,"W",,"-","-",2006
"2433456",2,"1","N","F",42,"A","-","N","G","-","Y","-","-","-","-","-",,,"-","-",0,1,"E",2003,"KIA","A",,,"W",,"-","-",2006
"2433468",1,"1","Y","M",75,"A","-","N","G","-","Y","-","-","-","-","-",,,"N","-",0,0,"E",1989,"CHEVROLET","D",,,"H",,"-","-",2006
