"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2422812",1,"1","N","M",22,"A","-","S","P","G","N","-","3","-","-","-",,,"N","-",0,0,"G",1989,"FORD","A","1","0","H",,"-","-",2006
"2422812",2,"1","Y","F",21,"A","-","S","M","G","N","-","3","-","-","-",,,"N","-",0,1,"G",1995,"NISSAN","A","1","0","H",,"-","-",2006
"2422816",1,"1","Y","M",53,"A","-","W","L","G","N","-","3","-","-","-",,,"N","-",0,1,"F",1993,"TOYOTA","A","1","0","H",,"-","-",2006
"2422816",2,"1","N","M",46,"A","-","W","P","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1990,"CHEVROLET","D","22","0","W",,"-","-",2006
"2422836",1,"1","Y","F",17,"A","-","N","M","G","Y","-","3","-",,"25",22350,,"A","-",0,0,"B",2000,"CHEVROLET","A","8","0","W",,"-","-",2006
"2422836",2,"1","N","F",40,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"H",2005,"DODGE","D","22","0","W",,"-","-",2006
"2422836",3,"1","N","M",39,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"H",2000,"CHEVROLET","D","22","0","W",,"-","-",2006
"2424841",1,"1","Y","F",47,"A","-","S","P","G","Y","-","3","-",,"27",21650,,"A","-",0,1,"C",1988,"TOYOTA","A","1","0","W",,"-","-",2006
"2433412",1,"1","N","M",69,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1998,"FORD","A","8","0","H",,"-","-",2006
"2433412",2,"1","Y","M",50,"A","-","N","P","G","N","-","3","-","-","-",,,"N","-",0,0,"B",1987,"CHEVROLET","D","22","0","W",,"-","-",2006
"2433416",1,"1","Y","M",42,"A","-","S","P","W",,"-","3","-","-","-",,,"N","-",0,1,"C",1981,"YAMAHA","C","2","0","W",,"-","-",2006
"2451065",1,"4","Y","M",34,"A","-","E","-","-","O","-","D","-","-","-",,,"F","-",0,1,"B",,"-","L",,,"W","K","-","-",2006
"2453223",1,"1","Y","M",41,"B","-","S","M","G","Y","-","3","-",,"27",21650,,"A","-",0,1,"B",1992,"MERCEDES-BENZ","A","1","0","W",,"-","-",2006
"2453227",1,"1","Y","F",44,"B","-","N","L","G","Y","-","3","-",,"27",21650,,"A","-",0,1,"C",2003,"CHRYSLER","A","1","0","W",,"-","-",2006
"2453239",1,"4","N","M",14,"A","-","N","-","-","O","-","3","-","-","-",,,"N","-",0,2,"B",,"-","L","4","0","A",,"-","-",2006
"2453239",2,"1","Y","M",50,"A","-","S","P","G","N","-","3","-","-","-",,,"N","-",0,0,"B",1987,"FORD","A","1","0","W",,"-","-",2006
"2453251",1,"1","Y","F",18,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1994,"PONTIAC","A","1","0","H",,"-","-",2006
"2453251",2,"1","N","M",37,"A","-","S","-","-","Y","-","3","-","-","-",,,"N","-",0,1,"B",1999,"FORD","A","8","0","W",,"-","-",2006
"2467782",1,"1","Y","M",54,"G","G","W","L","G","Y","-","3","-","-","-",,,"J","-",0,1,"C",1999,"FORD","A","7","0","W",,"-","-",2006
"2467786",1,"1","Y","M",23,"A","-","S","L","G","Y","-","3","-","-","-",,,"N","-",0,0,"I",1997,"CHEVROLET","A","1","0",,,"-","-",2006
"2467786",2,"1","N","M",21,"A","-","S","M","G","N","-","3","-","-","-",,,"N","-",0,1,"E",1995,"HONDA","A","1","0","H",,"-","-",2006
"2467812",1,"1","N","F",45,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1999,"CHEVROLET","A","7","0","W",,"-","-",2006
"2467812",2,"1","Y","-",998,"G","G","N","-","B",,"-","3","-","-","-",,,"N","-",0,0,"E",,"-","A","1","0",,,"-","-",2006
