"","bike","walk","motorcycle","car","bus","truck","one-party",""
"bike","0","0","0","0","0","0","0","local fatal"
"walk","0","0","0","0.2","0.2","0","0","local fatal"
"motorcycle","0","0","0","0","0","0","0","local fatal"
"car","0.4","0.4","0.2","1","0","0","1.4","local fatal"
"bus","0","0.2","0.2","0","0","0","0","local fatal"
"truck","0","0","0","0","0","0","0","local fatal"
"bike","0","0","0","0","0","0","0","arterial fatal"
"walk","0","0","0","0","0","0","0","arterial fatal"
"motorcycle","0","0","0","0.2","0","0","0","arterial fatal"
"car","0","0.2","0","1","0","0","0.8","arterial fatal"
"bus","0","0","0","0.2","0","0","0","arterial fatal"
"truck","0","0","0","0.2","0","0","0","arterial fatal"
"bike","0","0","0","0","0","0","0","highway fatal"
"walk","0","0","0","0","0","0","0","highway fatal"
"motorcycle","0","0","0","0","0.2","0","0","highway fatal"
"car","0","0.2","0","0.4","0.2","0","0.8","highway fatal"
"bus","0","0","0","0","0","0","0","highway fatal"
"truck","0","0","0","0","0","0","0","highway fatal"
"bike","0","0","0","0.8","0.2","0","0.2","local serious"
"walk","0","0","0","1.2","0.6","0","0","local serious"
"motorcycle","0","0","0.2","0.4","0.2","0","0.2","local serious"
"car","1.2","3","1","5","0.2","0","4.4","local serious"
"bus","0","0","0","0","0","0","0.4","local serious"
"truck","0","0","0","0","0","0","0","local serious"
"bike","0","0","0","0","0","0","0","arterial serious"
"walk","0","0","0","0","0","0","0","arterial serious"
"motorcycle","0","0","0","0.4","0","0","0.2","arterial serious"
"car","0","0.2","0.2","1.2","0","0","3.6","arterial serious"
"bus","0","0","0","0.4","0","0","0","arterial serious"
"truck","0","0","0","0","0","0","0","arterial serious"
"bike","0","0","0","0","0","0","0","highway serious"
"walk","0","0","0","0","0","0","0","highway serious"
"motorcycle","0","0","0","0.2","0","0","0.4","highway serious"
"car","0","0.2","0.4","1","0.4","0","3.2","highway serious"
"bus","0","0","0","0","0","0","0","highway serious"
"truck","0","0","0","0","0","0","0","highway serious"
